"","Footer ********************************************************************"
"Sign up for our newsletter to be always up to date", "Sign up for our newsletter to be always up to date"
"General Links","General Links"
"",""
"","Contact Us Page ***********************************************************"
"Address","Address"
"Phones","Phones"
"Emails","Emails"
"",""
"","Products Comparison Page **************************************************"
"Name","Name"
"Image","Image"
"Rating","Rating"
"Price","Price"
"","Header ********************************************************************"
"Category", "Category"
"Max. width", "Max. width"
"Max. height", "Max. height"
"","Measurement................................................................"
"Setup your measurement profile","НАСТРОЙКА РАЗМЕРОВ ВАШЕГО ПРОФИЛЯ"
"Please fill in the required fields.","Пожалуйста, заполните все обязательные поля"
"Get started by filling in your height, weight, and age.","Начните с заполнения вашего роста, веса и возраста"
"Height","РОСТ"
"FT","Футов"
"INCHES","Дюймов"
"WEIGHT","ВЕС"
"KG","КГ."
"AGE","ВОЗРАСТ"
"YEARS","ЛЕТ"
"SHOULDERS","ПЛЕЧИ"
"Select the shape of shoulder, from the illustrations on the right, that is closest to yours.","Выберите форму плеча, от иллюстрации на право, то есть ближе всего к вашей."
"NORMAL НОРМАЛЬНЫЕ",""
"SLOPPING ","ПОКАТЫЕ"
"SQUARE ","КВАДРАТНЫЕ"
"CHEST","ГРУДЬ"
"Select the shape of chest from the illustrations on the right, that is closest to yours.","Выберите форму груди, от иллюстрации на право, то есть ближе всего к вашей."
"HUSKY ","КРУПНАЯ"
"MUSCULAR ","МУСКУЛИСТАЯ"
"NORMAL ","НОРМАЛЬНАЯ"
"POSTURE","ОСАНКА"
"Select the type of the posture, from the illustrations on the right, that is closest to yours.","Выберите тип осанки, от иллюстрации на право, то есть ближе всего к вашей."
"FLAT ","ПРЯМАЯ"
"HUNCHED ","СУТУЛАЯ"
"NORMAL","НОРМАЛЬНАЯ"
"STOMACH","ЖИВОТ"
"Select the shape of stomach, from the illustrations on the right, that is closest to yours.","Выберите форму живота, от иллюстрации на право, то есть ближе всего к вашей."
"FLAT","ПРЯМОЙ"
"NORMAL ","НОРМАЛЬНЫЕ"
"ROUNDED ","ОКРУГЛЫЙ"
"SEAT","ЯГОДИЦЫ"
"Select the shape of Seat, from the illustrations on the right, that is closest to yours.","Выберите форму ягодиц, от иллюстрации на право, то есть ближе всего к вашей."
"LARGE ","ШИРОКИЕ"
"NORMAL ","НОРМАЛЬНЫЕ"
"THIN ","СТРОЙНЫЕ"
"JACKET FRONT LENGTH","ПИДЖАК Длина передней части"
"Your Body Measurement information has been saved with this quote!!","Ваша информация Измерение тела была сохранена с этой цитатой!"
"No body measurement type is available","Отсутствует тип измерения тело не доступен"
"Please fill in the required fields.","Пожалуйста, заполните необходимые поля."
"Value enetered may not be valid. Kindly check it again otherwise goto next.It should be nearby","Значение enetered не может быть действительным. Пожалуйста, проверьте его еще раз в противном случае перейти next.It должна быть около"
"Jacket back length","Пиджак ДЛИНА СПИНЫ"
"FULL CHEST","ПОЛНАЯ ГРУДЬ"
"STOMACH","ЖИВОТ"
"SEAT/HIP","ЯГОДИЦЫ"
"BACK SHOULDER LENGTH","ПЛЕЧИ СО СПИНЫ"
"HALF SHOULDER LENGTH","ПОЛОВИНА ДЛИНЫ ДО ПЛЕЧ"
"SLEEVE LENGTH","ДЛИНА РУКАВА"
"BICEP","БИЦЕП"
"TROUSER WAIST","брюк Талия"
"TROUSER OUTSEAM LENGTH","Брюк Outseam ДЛИНА"
"TROUSER INSEAM LENGTH","БРЮК ПО ВНУТРЕННЕМУ ШВУ ДЛИНА"
"THIGH","БЕДРО"
"KNEE","КОЛЕНО"
"NECK","ШЕЯ"
"YOUR BODY MEASUREMENTS ARE SAVED. YOU MAY NOW PROCEED TO CHECKOUT!","ВАШЕ ТЕЛО ИЗМЕРЕНИЯ СОХРАНЯЮТСЯ. ТЕПЕРЬ ВЫ МОЖЕТЕ ПЕРЕЙТИ К ОФОРМЛЕНИЮ ЗАКАЗА!"
